,timestamp,customer_name,customer_no,location
0,09-06-2019 07:01,Karl,0,drinks
1,09-06-2019 07:01,Andrea,1,fruit
2,09-06-2019 07:01,Julie,2,spices
3,09-06-2019 07:01,Heather,3,fruit
4,09-06-2019 07:02,Karl,0,fruit
5,09-06-2019 07:02,Julie,2,fruit
6,09-06-2019 07:02,Heather,3,fruit
7,09-06-2019 07:02,Steven,4,spices
8,09-06-2019 07:02,Tyler,5,dairy
9,09-06-2019 07:03,Karl,0,fruit
10,09-06-2019 07:03,Julie,2,fruit
11,09-06-2019 07:03,Heather,3,fruit
12,09-06-2019 07:03,Steven,4,spices
13,09-06-2019 07:03,Tyler,5,dairy
14,09-06-2019 07:03,Gabriel,6,fruit
15,09-06-2019 07:03,James,7,fruit
16,09-06-2019 07:03,Laura,8,drinks
17,09-06-2019 07:03,Ryan,9,checkout
18,09-06-2019 07:03,Jamie,10,dairy
19,09-06-2019 07:04,Karl,0,fruit
20,09-06-2019 07:04,Julie,2,spices
21,09-06-2019 07:04,Heather,3,drinks
22,09-06-2019 07:04,Steven,4,spices
23,09-06-2019 07:04,Tyler,5,dairy
24,09-06-2019 07:04,Gabriel,6,fruit
25,09-06-2019 07:04,James,7,fruit
26,09-06-2019 07:04,Laura,8,drinks
27,09-06-2019 07:04,Jamie,10,dairy
28,09-06-2019 07:04,Amy,11,drinks
29,09-06-2019 07:04,Wendy,12,dairy
30,09-06-2019 07:04,Joseph,13,dairy
31,09-06-2019 07:04,Terri,14,checkout
32,09-06-2019 07:04,Barbara,15,dairy
33,09-06-2019 07:05,Karl,0,fruit
34,09-06-2019 07:05,Julie,2,spices
35,09-06-2019 07:05,Heather,3,drinks
36,09-06-2019 07:05,Steven,4,spices
37,09-06-2019 07:05,Tyler,5,dairy
38,09-06-2019 07:05,Gabriel,6,spices
39,09-06-2019 07:05,Laura,8,fruit
40,09-06-2019 07:05,Wendy,12,dairy
41,09-06-2019 07:05,Joseph,13,dairy
42,09-06-2019 07:05,Barbara,15,dairy
43,09-06-2019 07:06,Karl,0,fruit
44,09-06-2019 07:06,Julie,2,dairy
45,09-06-2019 07:06,Steven,4,spices
46,09-06-2019 07:06,Tyler,5,dairy
47,09-06-2019 07:06,Laura,8,fruit
48,09-06-2019 07:06,Wendy,12,dairy
49,09-06-2019 07:06,Joseph,13,dairy
50,09-06-2019 07:06,Barbara,15,dairy
51,09-06-2019 07:06,Clayton,16,drinks
52,09-06-2019 07:06,Jeffrey,17,drinks
53,09-06-2019 07:06,John,18,drinks
54,09-06-2019 07:06,Karen,19,checkout
